,Cancer_Q
346,How can you prevent hereditary breast cancer?
347,How do I know if I have breast cancer rash?
348,How do I tell between breast cancer and cysts in the breast?
349,How do breast cancer and a tumor differ?
350,How do doctors check for breast cancer after a mastectomy?
351,How do you check breast cancer other than mammogram?
352,How does breast cancer develop?
353,How does breast feeding lower the risk of breast cancer?
354,How does breast feeding lower the risk of breast cancer?
355,How early can you diagnose breast cancer?
356,How fast can breast cancer spread?
357,How is breast cancer diagnosed? What are the types of breast lumps?
358,How to determine if I have breast cancer?
359,How to figure out if I have breast cancer?
360,How to help spread awareness during breast cancer week?
361,How to know I have breast cancer?
362,How to know it is cyst or breast cancer?
363,"If my grandmother passed from breast cancer, will they check me too for breast cancer?"
364,"If my mom had breast cancer, does that mean I will have breast cancer?"
365,"I'm 16 years old, do I have breast cancer? Mom did"
366,Is breast bruising a sign of breast cancer?
367,Is breast cancer contagious?
368,Is breast cancer hereditary?
369,Is breast cancer preventable?
370,Is breast cancer related to hypochondria?
371,Is breast cancer the same as a breast carcinoma?
372,"Is breast density a risk factor for breast cancer? Mammogram noted ""extremely dense breasts""."
373,Is dcis breast cancer be caused by stress?
374,Is it possible to have breast cancer at age 17?
375,Is one month of breast pain a sign of breast cancer?
376,Is radiation effective for breast cancer?
377,Is removing the hair from the breast can cause breast cancer?
378,Is stage 2 breast cancer bad?
379,Is there any causes of breast lumps besides cancer?
380,Is there any links between cervical cancer and breast cancer?
381,Is there anything I can do to help my grandma who may or may not have breast cancer?
382,It is common for ovarian cancer spreading to Breast and Lung?
383,My grandma has angiosarcoma of the breast? Will she be okay?
384,"My grandma has lumps on her breast. By any chance, would it be breast cancer? How will we know?"
385,My mom had lobular breast cancer at 52. Brca negative. Is lobular breast cancer more genetic based than ductal?
386,My mom has 3rd breast cancer recurrence but is brca1/2 negative. Am I high risk for breast cancer?
387,"My mom has breast cancer, What can you tell me about this disease?"
388,My mom has metastatic breast cancer?
389,My sister had breast cancer in both breast am I a high risk for breast cancer?
390,Please suggest what ideas for breast cancer awareness month do you have?
391,"Prostate cancer vs breast cancer, which one is more dangerous?"
392,Should I be concerned about breast cancer? Who is most at risk?
393,So what are the symptoms of metastatic breast cancer?
394,What are signs of breast cancer?
395,What are causes of breast lumps besides cancer?
396,What are good precautions against breast cancer?
397,What are signs of breast cancer?
398,What are some causes of breast cancer?
399,What are the common symptoms for breast cancer?
400,What are the differences between breast buds and breast cancer?
401,What are the first warning signs of breast cancer?
402,What are the odds of a nineteen year old having breast cancer?
403,What are the odds of getting endometrial cancer after breast cancer?
404,What are the signs that i could have breast cancer?
405,What are the statistics of the brca/breast cancer gene?
406,What are the symptoms of breast cancer?
407,What are the symptoms of breast cancer?
408,What are the symptoms of breast cancer? ?
409,What could cause a tumour in the breast?
410,What distinguishes inflammatory breast cancer from invasive breast cancer?
411,"What does ""early-stage"" breast cancer mean?"
412,What does breast cancer do to the body?
413,What is hereditary breast cancer called?
414,What is inflammatory breast cancer (ibc)?
415,"What is inflammatory breast cancer, how is it different from other cancers?"
416,What is inflammatory breast cancer?
417,What is it like to have breast cancer?
418,What is metastatic breast cancer?
419,What is the definition or description of: Hereditary breast cancer?
420,What is the difference between breast cancer and a tumor?
421,What is the difference between breast cancer and tissue cancer?
422,What is the earliest age for breast cancer?
423,What is the risk of breast cancer when grandmother had mastectomy?
424,What is the simptens of breast cancer?
425,What is the symptom of breast cancer?
426,What kinds of breast cancer are fueled by hormones?
427,What should I do if i suspect breast cancer?
428,What should I do if i think I have breast cancer?
429,What symptoms are common in breast cancer?
430,What to do about nipple infection or breast cancer?
431,What would be the liklihood of surviving breast cancer?
432,What's the cause of a breast tumor?
433,When should I be worried about breast cancer?
434,When was breast cancer awareness month started?
435,Why would a breast MRI be recommended when you have breast cancer?
436,Will I still have feeling in my breast after breast cancer surgery?
437,"35 years old, childless, hypochondriac regarding cancer risk of being childless. How to overcome such fears?"
438,"As a cancer survivor, how can I choose the right psychotherapist?"
439,"As a cancer survivor, why would   feel sad?"
440,Believe in power of prayer. Will it work for pharynx cancer?
441,Best nci national cancer institute breast cancer risk assessment tool?
442,Breast cancer is so rampant that i believe mammograms are the causation. Where could i verify this information?
443,Ca 19-9 tells you about which cancer?
444,Can an employer fire you for having cancer?
445,Cancer health disparities?
446,Cancer: Is it important that I know the stage cancer is in? Friends tend to think it is. I do not think it does any good but to foster myths. Hmm?
447,"Colonoscopy robs your dignity, is that true?"
448,Could skype calls give you cancer?
449,Does ordinary deotorant really cause cancer?
450,For what age group is eye cancer common for?
451,Gifts for a child with cancer?
452,"Hello doctor (s), m/32 yrs old. Could you please let me know the cancer screening procedure? I thought of doing one. Just want to do as a precautionary"
453,"Hi, can you recommend a company that can test me for the brca 1 and 2, that offers international service? My mother died from ovarian cancer at age 57"
454,How are cancer survivors helping us all rally to beat cancer?
455,How can stress and cancer connect?
456,How could i cope with my friend having cancer?
457,How do I cope with child cancer diagnosis?
458,How do I deal with cancer relapse with a disability?
459,How is someone suppose to act when  living with cancer?
460,How much money actually goes to breast cancer research?
461,How much money is spent annually studying solutions to breast cancer globally?
462,How much time will I live with recurring prostate cancer rated at t2c?
463,How should I cope when a spouse has stage 4 colon cancer?
